Dates,Category,Descript,DayOfWeek,PdDistrict
2009-03-04 13:26:00,DRUG/NARCOTIC,SALE OF AMPHETAMINE,Wednesday,MISSION
2009-03-04 13:01:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Wednesday,RICHMOND
2009-03-04 13:01:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Wednesday,RICHMOND
2009-03-04 12:05:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Wednesday,TENDERLOIN
2009-03-04 12:05:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,TENDERLOIN
2009-03-04 11:54:00,DRUG/NARCOTIC,FURNISHING MARIJUANA,Wednesday,SOUTHERN
2009-03-04 10:46:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Wednesday,PARK
2009-03-04 10:46:00,DRUG/NARCOTIC,MAINTAINING PREMISE WHERE NARCOTICS ARE SOLD/USED,Wednesday,PARK
2009-03-04 10:35:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Wednesday,NORTHERN
2009-03-04 10:35:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,NORTHERN
2009-03-04 09:35:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Wednesday,SOUTHERN
2009-03-04 09:30:00,DRUG/NARCOTIC,POSSESSION OF COCAINE,Wednesday,SOUTHERN
2009-03-04 09:30:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,SOUTHERN
2009-03-04 09:20:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,Wednesday,SOUTHERN
2009-03-04 09:20:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Wednesday,SOUTHERN
2009-03-04 09:20:00,DRUG/NARCOTIC,SALE OF CONTROLLED SUBSTANCE,Wednesday,SOUTHERN
2009-03-04 08:41:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,TENDERLOIN
2009-03-04 07:45:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Wednesday,TENDERLOIN
2009-03-04 07:23:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,TENDERLOIN
2009-03-04 04:03:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,TENDERLOIN
2009-03-04 01:28:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Wednesday,TARAVAL
2009-03-03 22:20:00,DRUG/NARCOTIC,SALE OF HEROIN,Tuesday,TENDERLOIN
2009-03-03 22:00:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Tuesday,NORTHERN
2009-03-03 21:50:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Tuesday,TENDERLOIN
2009-03-03 21:34:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Tuesday,TENDERLOIN
2009-03-03 21:25:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Tuesday,NORTHERN
2009-03-03 20:07:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Tuesday,TARAVAL
2009-03-03 20:07:00,DRUG/NARCOTIC,TRANSPORTATION OF MARIJUANA,Tuesday,TARAVAL
2009-03-03 20:07:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,TARAVAL
2009-03-03 19:34:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,NORTHERN
2009-03-03 19:34:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Tuesday,NORTHERN
2009-03-03 19:09:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Tuesday,PARK
2009-03-03 18:48:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Tuesday,BAYVIEW
2009-03-03 18:37:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Tuesday,MISSION
2009-03-03 18:35:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Tuesday,BAYVIEW
2009-03-03 18:32:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Tuesday,MISSION
2009-03-03 18:32:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Tuesday,MISSION
2009-03-03 18:00:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Tuesday,TENDERLOIN
2009-03-03 18:00:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Tuesday,TENDERLOIN
2009-03-03 18:00:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Tuesday,TENDERLOIN
2009-03-03 17:10:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Tuesday,SOUTHERN
2009-03-03 16:45:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Tuesday,BAYVIEW
2009-03-03 16:35:00,DRUG/NARCOTIC,SALE OF HEROIN,Tuesday,TENDERLOIN
2009-03-03 16:30:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Tuesday,TENDERLOIN
2009-03-03 15:20:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Tuesday,INGLESIDE
2009-03-03 13:58:00,EMBEZZLEMENT,EMBEZZLED VEHICLE,Tuesday,BAYVIEW
2009-03-03 12:47:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Tuesday,SOUTHERN
2009-03-03 11:39:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Tuesday,PARK
2009-03-03 10:58:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,Tuesday,SOUTHERN
2009-03-03 10:55:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,SOUTHERN
2009-03-03 10:39:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Tuesday,TENDERLOIN
2009-03-03 10:39:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,TENDERLOIN
2009-03-03 09:52:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,NORTHERN
2009-03-03 08:01:00,DRUG/NARCOTIC,POSSESSION OF COCAINE FOR SALES,Tuesday,TENDERLOIN
2009-03-03 08:01:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Tuesday,TENDERLOIN
2009-03-03 07:50:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Tuesday,TENDERLOIN
2009-03-03 07:30:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Tuesday,TENDERLOIN
2009-03-03 07:30:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Tuesday,TENDERLOIN
2009-03-03 07:05:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Tuesday,BAYVIEW
2009-03-03 07:00:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,MISSION
2009-03-03 06:58:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Tuesday,TENDERLOIN
2009-03-03 06:58:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Tuesday,TENDERLOIN
2009-03-03 06:58:00,DRUG/NARCOTIC,SALE OF CONTROLLED SUBSTANCE,Tuesday,TENDERLOIN
2009-03-03 06:48:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Tuesday,TENDERLOIN
2009-03-03 06:36:00,DRUG/NARCOTIC,SALE OF CONTROLLED SUBSTANCE,Tuesday,PARK
2009-03-03 06:25:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,TENDERLOIN
2009-03-03 02:20:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Tuesday,PARK
2009-03-03 02:20:00,DRUG/NARCOTIC,POSSESSION OF COCAINE FOR SALES,Tuesday,PARK
2009-03-03 00:39:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,TENDERLOIN
2009-03-03 00:39:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Tuesday,TENDERLOIN
2009-03-03 00:28:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,TENDERLOIN
2009-03-03 00:02:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Tuesday,TENDERLOIN
2009-03-03 00:02:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,Tuesday,TENDERLOIN
2009-03-03 00:02:00,DRUG/NARCOTIC,SALE OF CONTROLLED SUBSTANCE,Tuesday,TENDERLOIN
2009-03-03 00:01:00,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT BY EMPLOYEE",Tuesday,NORTHERN
2009-03-02 23:33:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Monday,TENDERLOIN
2009-03-02 22:04:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Monday,TENDERLOIN
2009-03-02 22:04:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,TENDERLOIN
2009-03-02 22:00:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Monday,NORTHERN
2009-03-02 22:00:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,NORTHERN
2009-03-02 20:50:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Monday,CENTRAL
2009-03-02 20:50:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,CENTRAL
2009-03-02 20:04:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Monday,SOUTHERN
2009-03-02 18:40:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Monday,TENDERLOIN
2009-03-02 18:40:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Monday,TENDERLOIN
2009-03-02 18:17:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Monday,TENDERLOIN
2009-03-02 18:17:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Monday,TENDERLOIN
2009-03-02 16:05:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Monday,BAYVIEW
2009-03-02 16:00:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Monday,TENDERLOIN
2009-03-02 16:00:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Monday,TENDERLOIN
2009-03-02 14:48:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,TENDERLOIN
2009-03-02 14:48:00,DRUG/NARCOTIC,POSSESSION OF OPIATES,Monday,SOUTHERN
2009-03-02 14:47:00,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT",Monday,TARAVAL
2009-03-02 14:00:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Monday,BAYVIEW
2009-03-02 14:00:00,DRUG/NARCOTIC,"CONTROLLED SUBSTANCE VIOLATION, LOITERING FOR",Monday,BAYVIEW
2009-03-02 13:50:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Monday,TENDERLOIN
2009-03-02 13:50:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Monday,TENDERLOIN
2009-03-02 13:35:00,DRUG/NARCOTIC,POSSESSION OF HEROIN FOR SALES,Monday,TENDERLOIN
2009-03-02 13:35:00,DRUG/NARCOTIC,SALE OF HEROIN,Monday,TENDERLOIN
2009-03-02 13:35:00,DRUG/NARCOTIC,POSSESSION OF COCAINE FOR SALES,Monday,TENDERLOIN
2009-03-02 12:57:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Monday,TENDERLOIN
2009-03-02 12:45:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Monday,MISSION
2009-03-02 12:27:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Monday,BAYVIEW
2009-03-02 12:27:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Monday,BAYVIEW
2009-03-02 12:27:00,DRUG/NARCOTIC,POSSESSION OF METHADONE,Monday,BAYVIEW
2009-03-02 12:27:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,BAYVIEW
2009-03-02 10:55:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Monday,INGLESIDE
2009-03-02 10:54:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Monday,TENDERLOIN
2009-03-02 10:30:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Monday,SOUTHERN
2009-03-02 10:09:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,SOUTHERN
2009-03-02 09:38:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,SOUTHERN
2009-03-02 08:40:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Monday,TENDERLOIN
2009-03-02 08:40:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,TENDERLOIN
2009-03-02 08:35:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Monday,SOUTHERN
2009-03-02 08:11:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Monday,TENDERLOIN
2009-03-02 08:10:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,Monday,SOUTHERN
2009-03-02 08:10:00,DRUG/NARCOTIC,SALE OF CONTROLLED SUBSTANCE,Monday,SOUTHERN
2009-03-02 08:10:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Monday,SOUTHERN
2009-03-02 07:35:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Monday,BAYVIEW
2009-03-02 07:35:00,DRUG/NARCOTIC,POSSESSION OF METHADONE,Monday,BAYVIEW
2009-03-02 02:29:00,DRUG/NARCOTIC,TRANSPORTATION OF COCAINE,Monday,MISSION
2009-03-02 02:29:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Monday,MISSION
2009-03-02 01:20:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,NORTHERN
2009-03-02 00:02:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Monday,SOUTHERN
2009-03-02 00:02:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Monday,SOUTHERN
2009-02-22 23:00:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,MISSION
2009-02-22 22:17:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,TENDERLOIN
2009-02-22 22:17:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Sunday,TENDERLOIN
2009-02-22 17:25:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Sunday,TENDERLOIN
2009-02-22 16:59:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Sunday,PARK
2009-02-22 16:46:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,CENTRAL
2009-02-22 14:43:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Sunday,INGLESIDE
2009-02-22 14:26:00,DRUG/NARCOTIC,POSSESSION OF HEROIN FOR SALES,Sunday,MISSION
2009-02-22 14:07:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Sunday,NORTHERN
2009-02-22 14:07:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,NORTHERN
2009-02-22 13:49:00,DRUG/NARCOTIC,VISITING WHERE DRUGS ARE USED OR SMOKED,Sunday,BAYVIEW
2009-02-22 13:37:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Sunday,INGLESIDE
2009-02-22 12:04:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Sunday,MISSION
2009-02-22 11:45:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,NORTHERN
2009-02-22 10:45:00,DRUG/NARCOTIC,POSSESSION OF COCAINE,Sunday,TARAVAL
2009-02-22 07:48:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,SOUTHERN
2009-02-22 07:37:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,SOUTHERN
2009-02-22 01:40:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Sunday,NORTHERN
2009-02-22 01:07:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Sunday,CENTRAL
2009-02-22 00:45:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Sunday,CENTRAL
2009-02-21 22:50:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Saturday,SOUTHERN
2009-02-21 22:47:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Saturday,TENDERLOIN
2009-02-21 22:36:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Saturday,TENDERLOIN
2009-02-21 22:36:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Saturday,TENDERLOIN
2009-02-21 21:45:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Saturday,CENTRAL
2009-02-21 21:05:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Saturday,MISSION
2009-02-21 18:48:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Saturday,MISSION
2009-02-21 18:04:00,DRUG/NARCOTIC,POSSESSION OF BARBITUATES,Saturday,TARAVAL
2009-02-21 18:04:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Saturday,TARAVAL
2009-02-21 17:30:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Saturday,NORTHERN
2009-02-21 15:45:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Saturday,TENDERLOIN
2009-02-21 15:38:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Saturday,RICHMOND
2009-02-21 14:59:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Saturday,PARK
2009-02-21 13:57:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Saturday,TENDERLOIN
2009-02-21 13:57:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Saturday,TENDERLOIN
2009-02-21 13:55:00,EMBEZZLEMENT,"EMBEZZLEMENT, PETTY THEFT BY EMPLOYEE",Saturday,BAYVIEW
2009-02-21 13:55:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Saturday,TENDERLOIN
2009-02-21 13:55:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Saturday,TENDERLOIN
2009-02-21 13:36:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Saturday,NORTHERN
2009-02-21 13:36:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Saturday,NORTHERN
2009-02-21 12:38:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Saturday,TENDERLOIN
2009-02-21 12:38:00,DRUG/NARCOTIC,SALE OF CONTROLLED SUBSTANCE,Saturday,TENDERLOIN
2009-02-21 12:18:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Saturday,TENDERLOIN
2009-02-21 12:18:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Saturday,TENDERLOIN
2009-02-21 12:12:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Saturday,MISSION
2009-02-21 12:12:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Saturday,MISSION
2009-02-21 11:09:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Saturday,PARK
2009-02-21 10:09:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Saturday,SOUTHERN
2009-02-21 09:26:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Saturday,TENDERLOIN
2009-02-21 08:56:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Saturday,SOUTHERN
2009-02-21 08:55:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Saturday,SOUTHERN
2009-02-21 02:22:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Saturday,NORTHERN
2009-02-21 02:20:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Saturday,SOUTHERN
2009-02-21 01:56:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Saturday,PARK
2009-02-21 01:47:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Saturday,TENDERLOIN
2009-02-21 01:41:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Saturday,TENDERLOIN
2009-02-21 01:41:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Saturday,TENDERLOIN
2009-02-21 01:11:00,DRUG/NARCOTIC,TRANSPORTATION OF METH-AMPHETAMINE,Saturday,BAYVIEW
2009-02-21 01:11:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Saturday,BAYVIEW
2009-02-21 01:11:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Saturday,BAYVIEW
2009-02-20 22:02:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Friday,BAYVIEW
2009-02-20 21:15:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Friday,TENDERLOIN
2009-02-20 21:15:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Friday,TENDERLOIN
2009-02-20 20:28:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Friday,TENDERLOIN
2009-02-20 20:28:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Friday,TENDERLOIN
2009-02-20 20:28:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Friday,TENDERLOIN
2009-02-20 20:10:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Friday,BAYVIEW
2009-02-20 19:49:00,SUICIDE,ATTEMPTED SUICIDE BY JUMPING,Friday,SOUTHERN
2009-02-20 19:00:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Friday,MISSION
2009-02-20 16:33:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Friday,BAYVIEW
2009-02-20 16:33:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Friday,BAYVIEW
2009-02-20 16:27:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Friday,SOUTHERN
2009-02-20 16:27:00,DRUG/NARCOTIC,SALE OF MARIJUANA,Friday,SOUTHERN
2009-02-20 15:33:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Friday,NORTHERN
2009-02-20 15:33:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Friday,NORTHERN
2009-02-20 15:33:00,DRUG/NARCOTIC,TRANSPORTATION OF COCAINE,Friday,NORTHERN
2009-02-20 15:30:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Friday,CENTRAL
2009-02-20 14:30:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Friday,MISSION
2009-02-20 14:15:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Friday,CENTRAL
2009-02-20 14:15:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Friday,PARK
2009-02-20 13:20:00,DRUG/NARCOTIC,POSSESSION OF COCAINE,Friday,SOUTHERN
2009-02-20 09:34:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Friday,TENDERLOIN
2009-02-20 09:34:00,DRUG/NARCOTIC,PLANTING/CULTIVATING MARIJUANA,Friday,PARK
2009-02-20 09:34:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Friday,PARK
2009-02-20 09:16:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Friday,INGLESIDE
2009-02-20 00:47:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Friday,NORTHERN
2009-02-20 00:09:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Friday,BAYVIEW
2009-02-20 00:09:00,DRUG/NARCOTIC,TRANSPORTATION OF COCAINE,Friday,BAYVIEW
2009-02-20 00:01:00,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT",Friday,SOUTHERN
2009-02-19 23:46:00,DRUG/NARCOTIC,TRANSPORTATION OF MARIJUANA,Thursday,INGLESIDE
2009-02-19 23:25:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Thursday,NORTHERN
2009-02-19 23:25:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Thursday,NORTHERN
2009-02-19 22:42:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Thursday,BAYVIEW
2009-02-19 22:30:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Thursday,TENDERLOIN
2009-02-19 22:00:00,DRUG/NARCOTIC,SALE OF MARIJUANA,Thursday,SOUTHERN
2009-02-19 22:00:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Thursday,SOUTHERN
2009-02-19 21:30:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Thursday,NORTHERN
2009-02-19 21:15:00,DRUG/NARCOTIC,SALE OF MARIJUANA,Thursday,SOUTHERN
2009-02-19 20:25:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,CENTRAL
2009-02-19 20:04:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,TARAVAL
2009-02-19 19:26:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,MISSION
2009-02-19 19:00:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Thursday,TENDERLOIN
2009-02-19 18:59:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Thursday,BAYVIEW
